"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC05002605.hg.1",-1.48716906060606,3.62645835858586,-11.8641828804094,6.70421237239635e-25,8.4428780203305e-22,45.8722849043777,"TC05002605.hg.1"
"TC09002584.hg.1",-2.20007231515152,4.0274761010101,-11.6500456926703,2.99246096795694e-24,3.14981081855564e-21,44.4061683626251,"TC09002584.hg.1"
"TC07001221.hg.1",-1.0437554,5.42288507575758,-11.6312654279735,3.41122844893738e-24,3.48652266528132e-21,44.2778027631454,"TC07001221.hg.1"
"TC17002040.hg.1",-1.18251946060607,4.7262209040404,-11.5842863985644,4.73294263341257e-24,4.57234675802952e-21,43.9568554747575,"TC17002040.hg.1"
"TC05003345.hg.1",-1.24625184242424,4.19919819191919,-11.5478211028898,6.10171355522367e-24,5.58845642928622e-21,43.7078961907687,"TC05003345.hg.1"
"TC05003325.hg.1",-1.10255958181819,3.31289574242424,-11.5449118676479,6.22659421675146e-24,5.62971928138415e-21,43.6880401507986,"TC05003325.hg.1"
"TC01004954.hg.1",-1.20475202424242,3.27118307070707,-11.4670080196502,1.07080752298013e-23,9.09838059555754e-21,43.1566786803179,"TC01004954.hg.1"
"TC05003117.hg.1",-1.36193067272727,4.23057525757576,-11.4110942070182,1.57950943306826e-23,1.29525283428224e-20,42.7757265735529,"TC05003117.hg.1"
"TC05002048.hg.1",-1.35266610909091,4.23197684848485,-11.218066860477,6.02607680942838e-23,4.38120633846719e-20,41.4634532819063,"TC05002048.hg.1"
"TC09000556.hg.1",-1.27371466060606,4.64545947979798,-11.2068413597599,6.5131305881914e-23,4.68699498439819e-20,41.387280593555,"TC09000556.hg.1"
"TC01003013.hg.1",-1.31206380606061,3.26390125252525,-11.2037821252925,6.65254285794527e-23,4.73896242394823e-20,41.3665244075435,"TC01003013.hg.1"
"TC11001552.hg.1",-1.04740771515151,4.21418593434344,-11.1100394149549,1.27225442752015e-22,8.2314861460554e-20,40.7310956016206,"TC11001552.hg.1"
"TC0X000073.hg.1",-1.68714823030303,3.21809495959596,-11.0890598679093,1.47069432751169e-22,9.26051571956314e-20,40.5890474573819,"TC0X000073.hg.1"
"TC13000564.hg.1",-1.02554523636363,2.95563396969697,-11.0489973582626,1.93934700612523e-22,1.17903938718077e-19,40.3179594175426,"TC13000564.hg.1"
"TC04001062.hg.1",-1.05080521212121,4.86499065656566,-10.9422724691152,4.04766862593986e-22,2.19579795774736e-19,39.5968886879741,"TC04001062.hg.1"
"TC17001826.hg.1",-2.03942476363637,4.0400153030303,-10.8487020425665,7.70501086622705e-22,3.93640601480858e-19,38.9660542748624,"TC17001826.hg.1"
"TC10001579.hg.1",-1.57293341212122,4.01039527777778,-10.8309046841528,8.70729118045816e-22,4.32439645013698e-19,38.8462163027855,"TC10001579.hg.1"
"TC13001682.hg.1",-1.17614853333333,3.95248488888889,-10.7969182400599,1.09962501665574e-21,5.3853371562231e-19,38.6175042683776,"TC13001682.hg.1"
"TC05002359.hg.1",-1.17395127272727,3.01343278787879,-10.6599062047436,2.81234078942915e-21,1.28788772397995e-18,37.6973220203756,"TC05002359.hg.1"
"TC05000204.hg.1",-1.24568717575757,3.05808817171717,-10.6266150117133,3.53151604637248e-21,1.56637173671903e-18,37.4741945303818,"TC05000204.hg.1"
"TC19000202.hg.1",-1.36712586666667,6.30308414141414,-10.6222648641268,3.6381250574009e-21,1.60011505409094e-18,37.4450521068939,"TC19000202.hg.1"
"TC21000591.hg.1",-1.01508427272727,2.52247577272727,-10.6168044301757,3.7764938222189e-21,1.62396142575819e-18,37.4084761373835,"TC21000591.hg.1"
"TC0X000943.hg.1",-1.53963396363637,4.71745206060606,-10.5185586924573,7.38567274639255e-21,2.95943067666956e-18,36.7512517670762,"TC0X000943.hg.1"
"TC02000270.hg.1",-1.42000301818182,4.51547593939394,-10.4755954618742,9.89805547376641e-21,3.81442932336846e-18,36.4643680634707,"TC02000270.hg.1"
"TC04000385.hg.1",-1.44392033939394,2.31458026262626,-10.4070716220034,1.57785961540554e-20,5.62079817625334e-18,36.0074823327588,"TC04000385.hg.1"
"TC14000988.hg.1",-1.7444414,4.32469913636364,-10.3709736944923,2.01653496967754e-20,6.83711998396968e-18,35.7671389547766,"TC14000988.hg.1"
"TC21000004.hg.1",-1.63602262424243,4.40760769191919,-10.2583956597466,4.32701238963979e-20,1.36229417301146e-17,35.0191384403542,"TC21000004.hg.1"
"TC03001042.hg.1",-1.46789514545454,4.46339998484849,-10.2076362612969,6.10029008898042e-20,1.86238423352886e-17,34.682668179369,"TC03001042.hg.1"
"TC6_mann_hap4000149.hg.1",-1.36910357575757,5.69171223232323,-10.1455790719074,9.2771772528988e-20,2.6813703746155e-17,34.2719935921725,"TC6_mann_hap4000149.hg.1"
"TC06003501.hg.1",-1.5233686969697,3.98445063131313,-10.1385154710517,9.7301217554217e-20,2.77812703059759e-17,34.2252974684418,"TC06003501.hg.1"
"TC05000392.hg.1",-1.01611955757576,4.47585624747475,-10.0929259501706,1.32321406337252e-19,3.68841997593755e-17,33.9241557052106,"TC05000392.hg.1"
"TC21000561.hg.1",-1.63694423636363,4.72929153030303,-10.0621706571739,1.62777958906737e-19,4.43458204664322e-17,33.7212405004586,"TC21000561.hg.1"
"TC02002627.hg.1",-1.7139149939394,5.05490923232323,-10.0593455743645,1.65903415138065e-19,4.50000251760837e-17,33.7026111075572,"TC02002627.hg.1"
"TC14001859.hg.1",-1.03846557575758,5.55306947474747,-10.0501446338396,1.76502671569374e-19,4.75095339965151e-17,33.6419489390265,"TC14001859.hg.1"
"TC14001940.hg.1",-1.13349280909091,1.39252317727273,-10.0204017195963,2.15597170455525e-19,5.67334300449067e-17,33.4459729475882,"TC14001940.hg.1"
"TC03003155.hg.1",-1.60801314545454,3.59558689393939,-9.99987623997483,2.47491425240667e-19,6.46438436379539e-17,33.3108384656165,"TC03003155.hg.1"
"TC01004679.hg.1",-1.39028811515152,3.78036978282828,-9.98563072539945,2.72346947739877e-19,7.03542996170673e-17,33.2171018324545,"TC01004679.hg.1"
"TC06004120.hg.1",-1.08924730909091,5.8254673030303,-9.98497510423633,2.73548847823363e-19,7.04068810038213e-17,33.2127888257108,"TC06004120.hg.1"
"TC6_cox_hap2000260.hg.1",-1.12599328484848,5.89279765656566,-9.94157720222667,3.66044633724403e-19,9.18667818652885e-17,32.9274991313273,"TC6_cox_hap2000260.hg.1"
