"TC_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"TC03001612.hg.1",-1.2164680060606,6.98972708585858,-4.50414902890927,1.13464856771522e-05,8.69202921366291e-05,2.7337113684309,"ABI3BP"
"TC03001908.hg.1",-1.61066616363636,4.53770434848485,-9.43138658896585,1.08855471114967e-17,1.7526973491874e-15,29.6056630510207,"IGSF10"
"TC03002131.hg.1",1.22263707272727,5.67437122727273,6.44514892666487,8.54119467003776e-10,1.78315770193923e-08,11.8698903082006,"LRRC15"
"TC03002146.hg.1",-1.56984205454546,8.63138728787879,-5.47515679220576,1.30858684714203e-07,1.63452834256106e-06,7.00568441067514,"APOD"
"TC03002155.hg.1",1.00131401212121,6.66280991919192,8.28877520258787,1.68291957592605e-14,1.10816561394055e-12,22.4234631361747,"TFRC"
"TC04000155.hg.1",1.65681338787879,4.73764121717172,10.4852820056186,9.2660054867336e-21,3.610312181994e-18,36.52902094921,"NCAPG"
"TC04000158.hg.1",-1.05967728484849,5.5575548989899,-7.02480694766964,3.32831812242413e-11,9.72743385610098e-10,15.0223933212513,"SLIT2"
"TC04000313.hg.1",-1.84834926666668,6.85240036868687,-7.09403194179406,2.23488696219053e-11,6.78772322284938e-10,15.4099217091061,"KIT"
"TC04000374.hg.1",-1.26784263030303,2.58274856565657,-4.69843891721058,4.88433022372501e-06,4.10068595675904e-05,3.5361607344154,"CSN1S1"
"TC04000403.hg.1",-1.00577566666667,2.39324282323232,-5.87258107456543,1.77606869228361e-08,2.71464439501337e-07,8.93188662299035,"ALB"
"TC04000432.hg.1",1.30305293939394,5.04618893434343,4.53386561981296,9.99094594865162e-06,7.74787201601889e-05,2.85467261983276,"CXCL13"
"TC04000475.hg.1",1.12780946666666,3.88167307070707,4.77114600820932,3.53945687768086e-06,3.07746415219686e-05,3.84341513670434,"IBSP"
"TC04000478.hg.1",1.73284041818182,8.37503053030303,7.04367403034871,2.98660167258795e-11,8.80535575902676e-10,15.1277890948645,"SPP1"
"TC04000493.hg.1",-1.12556373333334,3.98889473737374,-5.68840658643982,4.53360389252269e-08,6.32489312190658e-07,8.02720958391513,"MMRN1"
"TC04000609.hg.1",-1.50024868484849,5.47275358080808,-7.45344811377842,2.73062627958646e-12,1.05001067129376e-10,17.4572461577766,"SYNPO2"
"TC04000636.hg.1",-1.14616822424242,4.97874102525252,-7.79392917827942,3.54407935843123e-13,1.6673723055013e-11,19.4482676143823,"FAT4"
"TC04001062.hg.1",-1.05080521212121,4.86499065656566,-10.9422724691152,4.04766862593986e-22,2.19579795774736e-19,39.5968886879741,"LDB2"
"TC04001304.hg.1",1.96618367878788,7.19089755050505,7.06108373839979,2.70209608897499e-11,8.06084386620443e-10,15.2251929122478,"CXCL9"
"TC04001305.hg.1",2.35350489090909,6.39937246969697,8.63602225645055,1.88404014052663e-15,1.57613479039572e-13,24.5635133535431,"CXCL10"
"TC04001306.hg.1",1.52609816969697,3.67221577777778,6.70500126219494,2.03520476025019e-10,4.89525052207109e-09,13.2621327586497,"CXCL11"
"TC04001410.hg.1",-2.15189831515152,6.60588134343435,-5.52088210898848,1.04494413091105e-07,1.33791532025468e-06,7.22232727728043,"ADH1B"
"TC04001411.hg.1",-1.4917712060606,5.45056926767677,-5.981572638001,1.01070512682826e-08,1.62995558333659e-07,9.47677222582327,"ADH1C"
"TC04001436.hg.1",1.78028578181818,4.45842357575757,10.3201145677667,2.84794608216073e-20,9.29841210889914e-18,35.4289216738781,"CENPE"
"TC04001507.hg.1",1.00780240606061,4.41599567171717,8.16336426445038,3.67398773401862e-14,2.2452394884419e-12,21.6608289574269,"MAD2L1"
"TC04001516.hg.1",2.05687386060606,6.2183237929293,10.9839057751656,3.03831844885944e-22,1.74204334934076e-19,39.8779851394657,"CCNA2"
"TC05000298.hg.1",1.18472529090908,5.60556156060606,8.73855467455672,9.79612063231769e-16,8.87984338499923e-14,25.2029973065472,"CCNB1"
"TC05000392.hg.1",-1.01611955757576,4.47585624747475,-10.0929259501706,1.32321406337252e-19,3.68841997593755e-17,33.9241557052106,"CMYA5"
"TC05000604.hg.1",1.36902106666667,5.79731237373738,10.6156601358811,3.80614852051539e-21,1.62679401280186e-18,37.4008118691919,"LMNB1"
