"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC08000646.hg.1",1.05010836363636,6.13436287878787,9.24423968886869,3.71856440597214e-17,5.17247174758132e-15,28.403226055781,"TC08000646.hg.1"
"TC08000191.hg.1",1.9932641030303,4.76679051010101,9.22508899046145,4.21449674638673e-17,5.77124182612488e-15,28.2807051861372,"TC08000191.hg.1"
"TC08002237.hg.1",1.47560515151514,7.23667308080809,9.22193381786378,4.30228746269717e-17,5.85734012995739e-15,28.2605288043801,"TC08002237.hg.1"
"TC08000213.hg.1",1.15604124848485,4.95028707070707,9.18378449574494,5.51908147119756e-17,7.26160788420271e-15,28.0167902319727,"TC08000213.hg.1"
"TC06000171.hg.1",1.13918953333334,5.89512785353535,9.12000688831194,8.36210281478193e-17,1.03824045212476e-14,27.6102067775638,"TC06000171.hg.1"
"TC0X000376.hg.1",1.32345490909091,4.99117606060606,9.08840322161966,1.02695772014925e-16,1.23801947518095e-14,27.40915383373,"TC0X000376.hg.1"
"TC06001353.hg.1",1.49341682424242,6.19048408080808,9.08325397500042,1.06189282446361e-16,1.27144087707381e-14,27.376422585756,"TC06001353.hg.1"
"TC01000563.hg.1",1.32937550303031,5.23287831313131,9.07111583715842,1.14898555068326e-16,1.36644026965996e-14,27.2992961116153,"TC01000563.hg.1"
"TC05000907.hg.1",1.22765303030303,4.23104316161616,9.0627579648979,1.21304333444386e-16,1.43055944941446e-14,27.2462140213773,"TC05000907.hg.1"
"TC15000638.hg.1",1.57302181212121,5.56648066161616,9.05931250558491,1.24047197355332e-16,1.45472055410071e-14,27.2243371896085,"TC15000638.hg.1"
"TC06000761.hg.1",1.65106635151516,4.2614092020202,9.04005913488579,1.40547674050607e-16,1.61168188895463e-14,27.1021509818005,"TC06000761.hg.1"
"TC15001858.hg.1",1.52163072727273,5.92399078787879,9.02686295100572,1.53098514054605e-16,1.73584670525288e-14,27.0184664380939,"TC15001858.hg.1"
"TC01002500.hg.1",1.26591207272727,4.45375751515151,9.00749765475701,1.73558316965647e-16,1.93057621251866e-14,26.8957508982776,"TC01002500.hg.1"
"TC09000207.hg.1",1.5726830969697,4.53394021717172,9.00210761767694,1.79721196414659e-16,1.97502133295331e-14,26.8616141855999,"TC09000207.hg.1"
"TC09000415.hg.1",1.43064083636363,6.37500009090909,8.99527745143305,1.87843792976805e-16,2.06023449643907e-14,26.8183688154127,"TC09000415.hg.1"
"TC15000449.hg.1",1.55308133333334,4.65889517171717,8.99019813274143,1.94119660779194e-16,2.12576099955451e-14,26.7862177722944,"TC15000449.hg.1"
"TC14001578.hg.1",1.11402796363636,7.09944133333334,8.95761814535233,2.39630021860382e-16,2.57221126813695e-14,26.5801722365094,"TC14001578.hg.1"
